,categories,channel_id_nunique,display_id_count,view_count_sum,view_count_mean,view_count_median,view_count_gmean,like_count_sum,like_count_mean,like_count_median,like_count_gmean,dislike_count_sum,dislike_count_mean,dislike_count_median,dislike_count_gmean,duration_sum,duration_mean,duration_median,duration_gmean
0,,34,108,14694471.0,136059.91666666666,6811.5,6623.309812128334,4684.0,114.2439024390244,3.0,,595.0,14.512195121951219,0.0,,25917,239.97222222222223,144.5,138.09110348137963
1,Autos & Vehicles,3273,162838,9455130432.0,58064.64358442133,3040.0,0.0,36052468.0,227.50199090054332,16.0,,3164445.0,19.96860624341362,1.0,,44500314,273.27966445178646,159.0,160.42924923599264
2,Comedy,5517,68485,24661050227.0,360094.1845221581,6421.0,0.0,268745140.0,4009.924500149209,85.0,,10895420.0,162.56968069233065,4.0,,20681799,301.99020223406586,165.0,142.174572958549
3,Education,6144,216381,26280121443.0,121455.80583336414,2381.0,,82839969.0,401.42061957580427,18.0,,8763966.0,42.46786550175173,1.0,,201198416,929.8340242442729,370.0,393.6892365573615
4,Entertainment,14134,634714,121836209699.0,191954.50186855812,4695.0,0.0,669655442.0,1075.959127864006,30.0,,49185160.0,79.02753944535493,2.0,,288577267,454.65716369892584,200.0,202.92537364180967
5,Film & Animation,5728,125449,31187391683.0,248606.14020837154,5411.0,0.0,132595379.0,1077.2667587439573,30.0,,11297681.0,91.78763456148191,2.0,,48423764,386.0035871150826,141.0,137.59629069517973
6,Gaming,7503,833420,65488554050.0,78578.0927383552,3792.0,0.0,867747333.0,1051.6900210641645,53.0,,28963334.0,35.10290171591738,2.0,,744506848,893.315312807468,603.0,472.9185340237731
7,Howto & Style,8104,246132,26537923047.0,107819.88139291112,7262.0,0.0,252882968.0,1063.9864015988219,73.0,,12554354.0,52.821516777111604,4.0,,101842329,413.77118375505825,288.0,272.056706594612
8,Movies,1,2,320469.0,160234.5,160234.5,101698.51616419973,3412.0,1706.0,1706.0,1278.0985877466576,130.0,65.0,65.0,59.126981996377936,337,168.5,168.5,158.0189862010259
9,Music,14560,521508,184672608319.0,354112.70453952765,4572.0,0.0,1137320388.0,2210.732909064756,39.0,,51862770.0,100.81128730654247,1.0,,212186126,406.87031838437764,235.0,244.8345592238098
10,News & Politics,2386,349808,6510021227.0,18611.06776579291,448.0,,43505151.0,127.29886527229954,2.0,,4638199.0,13.571668090684582,0.0,,148066154,423.2783526963363,152.0,182.74082442035655
11,Nonprofits & Activism,1848,59203,1811474987.0,30604.926371454156,1717.0,,19410717.0,346.13782588537396,16.0,,1017099.0,18.137219587003816,1.0,,50645570,855.4561424252149,342.0,382.59988716425
12,People & Blogs,10337,221188,14903010340.0,67378.33812572339,1761.0,,175998625.0,825.5675821469615,23.0,,6920576.0,32.46277177099702,1.0,,121715975,550.2829041358482,278.0,267.61770958068416
13,Pets & Animals,2225,38922,4463004200.0,114665.33579980474,1784.0,0.0,24071570.0,628.5989972319423,17.0,,1899234.0,49.59612471927717,1.0,,8284192,212.84086120959867,102.0,105.03092312565373
14,Science & Technology,3916,168943,10055951908.0,59522.74973215818,3211.0,0.0,79942316.0,481.94312584777697,19.0,,5429896.0,32.734866616428036,1.0,,90604317,536.3011015549623,225.0,242.0505103181017
15,Shows,1,2,124389.0,62194.5,62194.5,62039.05382901975,1657.0,828.5,828.5,827.7813721025619,41.0,20.5,20.5,20.493901531919196,1576,788.0,788.0,462.4932431938869
16,Sports,4705,287302,17679333425.0,61535.713030191226,2569.0,0.0,100824746.0,355.6440975100441,15.0,,5759693.0,20.31644908800384,1.0,,99166053,345.16311407508476,144.0,149.15195956828626
17,Travel & Events,2965,83874,3218717322.0,38375.62679733887,892.0,0.0,12635330.0,156.62596687822293,5.0,,1060248.0,13.142701309004364,0.0,,26505836,316.0196962109831,135.0,134.32760269282713
